"title","price","beds","baths","size","details","time"
"فيلا للبيع في شارع هجرة العين ، حي الربوة ، الرياض ، الرياض","10,000,000 ريال","7","5","1550 م²","١٥٥٠ م  شارعين متظاهرين /٣ ادوار الدور الارضي مسبح ١٠ م صاله رياضه /مجلس رجال /غرفه طعام /٢ عدد حمام /صاله تراثيه وغرفه مكتب مع حمام + غرفه صغيره للتخزين / الدور الاول غرفه نوم بحمام +حمام وصاله درج يوجد بها بيانو +مدخل خاص بالنساء ومجلس نساء+غرفه طع...","قبل شهر"
"فيلا للبيع في شارع الفراوي ، حي المربع ، الرياض ، الرياض","3,000,000 ريال","5","5","1408 م²","للبيع فيلا عدد 2 مساحة كل فيلا 704 م٢ متجاورتين كل فيلا لها صك منفصل لنفس المالك المساحة الاجمالية للفلل 1408 م٢ للبيع صافي 3000000 ريال سعودي  (ثلاثة مليون ريال سعودي صافي ) 
للتواصل ابو سامر 0541093919 واتس اب","قبل اسبوعين"
"فيلا للبيع في شارع ابها ، حي المنصورة ، الرياض ، الرياض","3,000,000 ريال","7","5","811 م²","","قبل 3 شهور"
"فيلا للبيع في شارع المطري ، حي الربوة ، الرياض ، الرياض","1,150,000 ريال","7","1","408 م²","عمر الفيلا 35 سنه","قبل شهرين"
"فيلا للبيع في شارع ناصر الدين الهمذاني ، حي الوشام ، الرياض ، الرياض","600,000 ريال","6","4","160 م²","","قبل شهرين"
"فيلا للبيع في شارع احمد البيدري ، حي عتيقة ، الرياض ، الرياض","400,000 ريال","7","5","505 م²","١١ غرفه وصالتين ومطبخ
مساحة الغرف كبيره. 
٦ دورات مياه
ويمكن فصل البيت دورين 
الدرج جانبي. 
ومستودع صغير 
ومستودع كبير جداً جداً. 
ومدخلين سيارات
يتسع المدخل الاول ٣ سيارات. 
المدخل الثاني ٤ سيارات. 
مع وجود ارض فضاء داخل الفيلا تصل مساحتها ١٦٥م تقري...","قبل اسبوع"
"فيلا للبيع في شارع البحتري ، حي الربوة ، الرياض ، الرياض","3,750,000 ريال","5","5","1250 م²","واجهته شماليه شرقيه شارع 20 و 10 
اطوالها
 25 على شارع 20
50 عمق على شارع 10
العقار يحتاج قليل من الترميم الخارجي واصحابه ساكنين فيه ومحافظين عليه .  فرصة لمن يبحث عن عقار موقعه ومنطقته ممتازة جدا جدا","قبل شهر"
"فيلا للبيع في شارع ام يونس ، حي جرير ، الرياض ، الرياض","1,200,000 ريال","5","3","296 م²","فله مساحتها ٢٩٦ عمرها حوالي ٤ سنوات دور ودور مع شقه عليها بنك ٣٥٠ الف","قبل 3 شهور"
"فيلا للبيع في شارع الأميرة الجوهرة بنت الإمام فيصل بن تركي ، حي الربوة ، الرياض ، الرياض","6,500,000 ريال","7","5","2500 م²","فيلا للبيع في شارع الأميرة الجوهرة بنت الإمام فيصل بن تركي ، حي الربوة ، الرياض ، الرياضقبل شهرين6,500,000 ريال2500 م²5 7 مجمع ٦فلل وضيافة المجمع قديم
السوم حالياً ٦،٥ مليون الموقع عبارة عن ارض
مع العلم ان الفلل قابله للترميم  لمن اراد 
بها ١٣ عداد كهرباء وعدادين ماء ونظام مراقبة كامل 
شارعين زاريه ٢٠ جنوبي غربي   حي الربوة - الرياض","قبل شهرين"
"فيلا للبيع في شارع ابي الفتح السعدي ، حي الخالدية ، الرياض ، الرياض","950,000 ريال","4","5","450 م²","فيلا للبيع في شارع ابي الفتح السعدي ، حي الخالدية ، الرياض ، الرياضقبل يومين950,000 ريال450 م²5 4 مواصفات فيلة حي الخالدية ( للبيع)
المساحة/ ٤٥٠م٢
شارع ١٥ واجهة الفلة غربية
وتفتح على مسجد وساحته
جميع الخدمات متوفرة بالقرب من الفلة
دورين مفصولة
الدور الأرضي :
مجلس رجال ، مقلط، صالة ، غرفة نوم ، غرفةنوم رئيسة بحمام ، + ٢ حمام
الحوش :
مطبخ خارجي ، م...   حي الخالدية - الرياض","قبل يومين"
"فيلا للبيع في شارع ابي الفرج الوكيل ، حي جرير ، الرياض ، الرياض","1,200,000 ريال","7","5","486 م²","فيلا للبيع في شارع ابي الفرج الوكيل ، حي جرير ، الرياض ، الرياضقبل شهر1,200,000 ريال486 م²5 7 للبيع فيلا حي جرير غرب طريق النهضة 
درج داخلي 
الدور الأرضي مجلس ومقلط وصالة كبيرة ومجلس نساء ومطبخين ودورتين مياه + ملحق مع دورة مياه 
الدور العلوي : غرفة نوم ماستر + ثلاث غرف ودورة مياه 
البيع على السوم 
مرممة بالكامل 18 على الشارع في 27 متر 
للتو...   حي جرير - الرياض","قبل شهر"
"فيلا للبيع في شارع الرواكب ، حي المنصورة ، الرياض ، الرياض","1,000,000 ريال","5","3","275 م²","فيلا للبيع في شارع الرواكب ، حي المنصورة ، الرياض ، الرياضقبل 3 اسابيع1,000,000 ريال275 م²3 5 فيلا دوبلكس للبيع نظام شقق بقيمة ممتازة وقابل للتفاوض للجاديين فقط
- الطابق الارضي 5 غرف وثلاث حمامات وصالة وموقف خاص ومدخل خاص
- الطابق الاول 6 غرف و3 حمامات وصالة 
- الطابق الاخير 3 غرف وصالة و 2 حمام 
الدخل السنوي 70.000 ريال تقريبا   حي المنصورة - الرياض","قبل 3 اسابيع"
